ExpeimentId	ModelId	SplitId	ContainerId	AllowDuplicates	ml-class	NumFactors	NumIter	PosSampler	UnobservedRatio	UnobservedNegSampler	NumObservedNeg	NumUnobservedNeg	TrainTime	EvaluationTime	PureTrainTime	PureEvaluationTime	TotalTime	PureTotalTime	TestedCases	CandidatesMode	NumCandidates	CutOff	Recall	MRR	NDCG	EvalMethod
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	0	420489	154493	1617	153378	1510	156110	154888	13442	TRAINING	100	10	0.2109	0.0661	0.0993	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	0	420489	154493	1617	153378	1510	156110	154888	13442	TRAINING	100	20	0.3690	0.0768	0.1390	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	0	420489	154493	1617	153378	1510	156110	154888	13442	TRAINING	1000	5	0.0147	0.0067	0.0087	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	0	420489	154493	1617	153378	1510	156110	154888	13442	TRAINING	1000	10	0.0263	0.0083	0.0124	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	0	420489	154493	1617	153378	1510	156110	154888	13442	TRAINING	1000	20	0.0502	0.0099	0.0184	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	1	UniformFeedback	0	3750000	140049	5508	139453	5507	145557	144960	13442	TRAINING	100	5	0.2433	0.1336	0.1604	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	1	UniformFeedback	0	3750000	140049	5508	139453	5507	145557	144960	13442	TRAINING	100	10	0.3854	0.1521	0.2060	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	1	UniformFeedback	0	3750000	140049	5508	139453	5507	145557	144960	13442	TRAINING	100	20	0.5681	0.1646	0.2520	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	1	UniformFeedback	0	3750000	140049	5508	139453	5507	145557	144960	13442	TRAINING	1000	5	0.0425	0.0210	0.0262	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	1	UniformFeedback	0	3750000	140049	5508	139453	5507	145557	144960	13442	TRAINING	1000	10	0.0716	0.0248	0.0356	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	1	UniformFeedback	0	3750000	140049	5508	139453	5507	145557	144960	13442	TRAINING	1000	20	0.1184	0.0279	0.0473	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	3374818	375182	142751	813	141255	812	143564	142067	13442	TRAINING	100	5	0.1127	0.0523	0.0671	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	3374818	375182	142751	813	141255	812	143564	142067	13442	TRAINING	100	10	0.2032	0.0642	0.0961	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	3374818	375182	142751	813	141255	812	143564	142067	13442	TRAINING	100	20	0.3675	0.0753	0.1373	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	3374818	375182	142751	813	141255	812	143564	142067	13442	TRAINING	1000	5	0.0245	0.0120	0.0151	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	3374818	375182	142751	813	141255	812	143564	142067	13442	TRAINING	1000	10	0.0414	0.0142	0.0205	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	3374818	375182	142751	813	141255	812	143564	142067	13442	TRAINING	1000	20	0.0728	0.0163	0.0284	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	0	3010572	150819	1352	149564	1351	152171	150915	13442	TRAINING	100	5	0.2178	0.1090	0.1357	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	0	3010572	150819	1352	149564	1351	152171	150915	13442	TRAINING	100	10	0.3556	0.1272	0.1799	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	0	3010572	150819	1352	149564	1351	152171	150915	13442	TRAINING	100	20	0.5378	0.1395	0.2253	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	0	3010572	150819	1352	149564	1351	152171	150915	13442	TRAINING	1000	5	0.0356	0.0172	0.0218	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	0	3010572	150819	1352	149564	1351	152171	150915	13442	TRAINING	1000	10	0.0638	0.0209	0.0308	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	0	3010572	150819	1352	149564	1351	152171	150915	13442	TRAINING	1000	20	0.1028	0.0236	0.0405	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	2999797	750203	133772	1476	132898	1475	135248	134373	13442	TRAINING	100	5	0.1296	0.0630	0.0794	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	2999797	750203	133772	1476	132898	1475	135248	134373	13442	TRAINING	100	10	0.2270	0.0757	0.1105	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	2999797	750203	133772	1476	132898	1475	135248	134373	13442	TRAINING	100	20	0.3966	0.0872	0.1531	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	2999797	750203	133772	1476	132898	1475	135248	134373	13442	TRAINING	1000	5	0.0237	0.0125	0.0153	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	2999797	750203	133772	1476	132898	1475	135248	134373	13442	TRAINING	1000	10	0.0424	0.0150	0.0213	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	2999797	750203	133772	1476	132898	1475	135248	134373	13442	TRAINING	1000	20	0.0724	0.0170	0.0288	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.9	UniformFeedback	0	3380915	150245	4697	147464	4696	154942	152160	13442	TRAINING	100	5	0.2127	0.1038	0.1306	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.9	UniformFeedback	0	3380915	150245	4697	147464	4696	154942	152160	13442	TRAINING	100	10	0.3443	0.1212	0.1730	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.9	UniformFeedback	0	3380915	150245	4697	147464	4696	154942	152160	13442	TRAINING	100	20	0.5330	0.1341	0.2204	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.9	UniformFeedback	0	3380915	150245	4697	147464	4696	154942	152160	13442	TRAINING	1000	5	0.0384	0.0199	0.0244	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.9	UniformFeedback	0	3380915	150245	4697	147464	4696	154942	152160	13442	TRAINING	1000	10	0.0655	0.0234	0.0331	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.9	UniformFeedback	0	3380915	150245	4697	147464	4696	154942	152160	13442	TRAINING	1000	20	0.1123	0.0266	0.0448	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	2624680	1125320	134961	1357	132604	1119	136318	133723	13442	TRAINING	100	5	0.1232	0.0567	0.0730	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	2624680	1125320	134961	1357	132604	1119	136318	133723	13442	TRAINING	100	10	0.2294	0.0706	0.1071	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	2624680	1125320	134961	1357	132604	1119	136318	133723	13442	TRAINING	100	20	0.3970	0.0821	0.1492	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	2624680	1125320	134961	1357	132604	1119	136318	133723	13442	TRAINING	1000	5	0.0196	0.0098	0.0122	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	2624680	1125320	134961	1357	132604	1119	136318	133723	13442	TRAINING	1000	10	0.0356	0.0119	0.0174	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	2624680	1125320	134961	1357	132604	1119	136318	133723	13442	TRAINING	1000	20	0.0590	0.0135	0.0232	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.4	UniformFeedback	2249161	1500839	131951	4097	130449	4096	136048	134545	13442	TRAINING	100	5	0.1386	0.0648	0.0829	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.4	UniformFeedback	2249161	1500839	131951	4097	130449	4096	136048	134545	13442	TRAINING	100	10	0.2510	0.0793	0.1188	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.4	UniformFeedback	2249161	1500839	131951	4097	130449	4096	136048	134545	13442	TRAINING	100	20	0.4331	0.0917	0.1645	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.4	UniformFeedback	2249161	1500839	131951	4097	130449	4096	136048	134545	13442	TRAINING	1000	5	0.0225	0.0113	0.0140	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.4	UniformFeedback	2249161	1500839	131951	4097	130449	4096	136048	134545	13442	TRAINING	1000	10	0.0398	0.0135	0.0196	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.4	UniformFeedback	2249161	1500839	131951	4097	130449	4096	136048	134545	13442	TRAINING	1000	20	0.0686	0.0154	0.0267	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.5	UniformFeedback	1875611	1874389	133001	4008	132430	4005	137009	136435	13442	TRAINING	100	5	0.1582	0.0774	0.0972	RBR-OPR
